"Actores","Director","Genero","Descripcion","Anho","Titulo"
"Allison Tolman, Billy Bob Thornton, Colin Hanks, Martin Freeman",,"Crime, Drama, Thriller","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","15 Apr 2014","Fargo"
"Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall",,"Crime, Drama","Ray Donovan, a professional 'fixer' for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family.","18 Jun 2013","Ray Donovan"
"Harry Lennix, James Spader, Megan Boone, Diego Klattenhoff",,"Crime, Drama, Mystery, Thriller","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","23 Sep 2013","The Blacklist"
"Robin Wright, Michael Kelly, Kevin Spacey, Justin Doescher",,"Drama","A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.","01 Feb 2013","House of Cards"
"Adeel Akhtar, Paul Higgins, Neil Maskell, Fiona O'Shaughnessy",,"Drama, Mystery, Sci-Fi, Thriller","After a group of people, who meet online, discover a bizarre graphic novel which seems to hold mysterious answers, they find themselves being tracked down by a merciless organization known merely as 'The Network'.","15 Jan 2013","Utopia"
"Volker Bruch, Tom Schilling, Katharina Schüttler, Miriam Stein",,"Action, Drama, History, War","Five friends go out to war and promise each other to be back for Christmas.","01 Mar 2013","Generation War"
"Gabriel Macht, Rick Hoffman, Sarah Rafferty, Patrick J. Adams",,"Comedy, Drama","On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.","23 Jun 2011","Suits"
"Diane Kruger, Demián Bichir, Thomas M. Wright, Ted Levine",,"Crime, Drama, Mystery, Thriller","Two detectives work together to take down a serial killer operating on both sides of the Texas-Chihuahua border.",,"The Bridge"
"Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",,"Drama, Sci-Fi, Thriller","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","04 Dec 2011","Black Mirror"
"Idris Elba, Dermot Crowley, Michael Smiley, Warren Brown",,"Crime, Drama, Mystery, Thriller","DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.","17 Oct 2010","Luther"
